Method:,Hadamard 1,,
Host Date-Time:,9/6/21 @ 16:8:33,,
Header Version:,1,,
System Temp (C):,36.36,,
Detector Temp (C):,0,,
Humidity (%):,64.63,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22478e-05,,
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161,,
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time in sec:,  2.568,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,0.554305,33355.000000,9308.000000
905.331226,0.577622,39078.000000,10335.000000
909.259927,0.576397,43304.000000,11485.000000
913.184288,0.570425,46744.000000,12569.000000
917.104308,0.567519,50422.000000,13649.000000
921.019987,0.550088,54741.000000,15425.000000
924.931325,0.539270,59954.000000,17320.000000
930.139690,0.536399,68596.000000,19948.000000
934.040900,0.533497,76426.000000,22374.000000
937.937768,0.521357,84872.000000,25551.000000
941.830296,0.512134,93254.000000,28677.000000
945.718482,0.508101,101252.000000,31427.000000
949.602328,0.496320,108639.000000,34647.000000
953.481833,0.489710,115435.000000,37379.000000
957.356997,0.474922,122307.000000,40976.000000
961.227820,0.473988,129145.000000,43360.000000
965.094302,0.466835,136103.000000,46455.000000
968.956444,0.459853,142965.000000,49588.000000
972.814244,0.451114,149662.000000,52966.000000
976.667703,0.449099,156158.000000,55522.000000
981.798897,0.441177,164161.000000,59442.000000
985.642228,0.435641,169523.000000,62171.000000
989.481217,0.429595,173964.000000,64694.000000
993.315866,0.424825,177984.000000,66920.000000
997.146174,0.418249,181112.000000,69135.000000
1000.972141,0.412666,183658.000000,71014.000000
1004.793768,0.406628,185494.000000,72728.000000
1008.611053,0.404002,186883.000000,73717.000000
1012.423997,0.398243,187776.000000,75058.000000
1016.232601,0.393293,188146.000000,76068.000000
1020.036863,0.389260,188355.000000,76863.000000
1023.836785,0.386296,188661.000000,77515.000000
1028.896595,0.380818,188709.000000,78519.000000
1032.686388,0.377084,188702.000000,79194.000000
1036.471840,0.372984,188555.000000,79883.000000
1040.252951,0.371023,188507.000000,80224.000000
1044.029721,0.365874,188426.000000,81146.000000
1047.802150,0.363994,188789.000000,81655.000000
1051.570239,0.360648,189180.000000,82457.000000
1055.333986,0.359071,189971.000000,83103.000000
1059.093393,0.356805,190670.000000,83845.000000
1062.848459,0.355643,191426.000000,84403.000000
1066.599184,0.353894,192642.000000,85282.000000
1070.345568,0.351702,194138.000000,86379.000000
1075.333994,0.351886,195877.000000,87116.000000
1079.070249,0.348339,197386.000000,88507.000000
1082.802163,0.347078,198844.000000,89420.000000
1086.529736,0.346869,200200.000000,90073.000000
1090.252969,0.342510,201534.000000,91588.000000
1093.971860,0.342367,203100.000000,92330.000000
1097.686411,0.340688,204501.000000,93327.000000
1101.396621,0.340128,205439.000000,93876.000000
1105.102490,0.339552,206432.000000,94455.000000
1108.804018,0.337647,207502.000000,95362.000000
1112.501205,0.338456,208242.000000,95524.000000
1116.194051,0.337431,208543.000000,95888.000000
1121.111093,0.335824,209248.000000,96569.000000
1124.793811,0.336806,209874.000000,96639.000000
1128.472187,0.335859,209967.000000,96893.000000
1132.146223,0.337117,210122.000000,96684.000000
1135.815917,0.337043,210219.000000,96745.000000
1139.481271,0.338300,210351.000000,96526.000000
1143.142284,0.339967,210425.000000,96190.000000
1146.798956,0.342037,210885.000000,95942.000000
1150.451287,0.342301,211022.000000,95946.000000
1154.099277,0.342994,211467.000000,95995.000000
1157.742927,0.345588,211865.000000,95603.000000
1161.382235,0.347175,212407.000000,95498.000000
1166.227894,0.347548,213351.000000,95840.000000
1169.857073,0.348122,214157.000000,96075.000000
1173.481912,0.348457,215315.000000,96520.000000
1177.102410,0.350219,216842.000000,96811.000000
1180.718567,0.348577,218215.000000,97793.000000
1184.330383,0.349385,220166.000000,98484.000000
1187.937858,0.352972,223108.000000,98979.000000
1191.540992,0.352706,226301.000000,100457.000000
1195.139786,0.351894,228970.000000,101832.000000
1198.734238,0.351648,232049.000000,103260.000000
1202.324349,0.352154,235211.000000,104545.000000
1205.910120,0.350797,238754.000000,106452.000000
1209.491550,0.349884,242221.000000,108225.000000
1214.260037,0.348323,247215.000000,110854.000000
1217.831338,0.344850,251511.000000,113686.000000
1221.398298,0.340300,255278.000000,116604.000000
1224.960917,0.339518,259185.000000,118602.000000
1228.519195,0.336003,262938.000000,121297.000000
1232.073133,0.331887,267462.000000,124559.000000
1235.622729,0.329863,271867.000000,127202.000000
1239.167985,0.328246,276208.000000,129715.000000
1242.708899,0.324884,280066.000000,132549.000000
1246.245473,0.322620,284636.000000,135416.000000
1249.777706,0.321074,289502.000000,138222.000000
1253.305598,0.319022,293993.000000,141031.000000
1258.002701,0.318471,299847.000000,144022.000000
1261.520465,0.317760,304316.000000,146408.000000
1265.033887,0.314314,308392.000000,149551.000000
1268.542968,0.314617,312545.000000,151459.000000
1272.047709,0.312962,317478.000000,154437.000000
1275.548108,0.310710,322752.000000,157819.000000
1279.044167,0.310563,327793.000000,160338.000000
1282.535885,0.309665,331961.000000,162713.000000
1286.023262,0.309537,335875.000000,164680.000000
1289.506298,0.307457,339840.000000,167424.000000
1292.984993,0.307636,343292.000000,169055.000000
1296.459347,0.308760,346631.000000,170258.000000
1301.085067,0.308124,349854.000000,172093.000000
1304.549292,0.308276,352124.000000,173149.000000
1308.009177,0.308387,354000.000000,174027.000000
1311.464720,0.309687,355508.000000,174246.000000
1314.915923,0.309668,357474.000000,175217.000000
1318.362785,0.310193,359003.000000,175754.000000
1321.805306,0.313018,360223.000000,175208.000000
1325.243486,0.314511,360950.000000,174959.000000
1328.677325,0.316447,361423.000000,174409.000000
1332.106823,0.319183,362010.000000,173595.000000
1335.531980,0.321187,362144.000000,172860.000000
1338.952797,0.323969,361560.000000,171479.000000
1343.507133,0.328981,361109.000000,169300.000000
1346.917820,0.333139,360523.000000,167415.000000
1350.324167,0.336412,359634.000000,165748.000000
1353.726173,0.340731,358133.000000,163423.000000
1357.123838,0.345692,357242.000000,161165.000000
1360.517162,0.349657,356340.000000,159297.000000
1363.906145,0.351808,355178.000000,157993.000000
1367.290787,0.353690,353695.000000,156653.000000
1370.671089,0.355658,352296.000000,155328.000000
1374.047049,0.357602,351088.000000,154104.000000
1377.418669,0.361926,350413.000000,152284.000000
1380.785947,0.365299,349275.000000,150615.000000
1384.148885,0.370887,348609.000000,148406.000000
1388.626050,0.380333,348587.000000,145204.000000
1391.978858,0.390125,348112.000000,141773.000000
1395.327327,0.398956,346923.000000,138445.000000
1398.671454,0.411095,346047.000000,134289.000000
1402.011240,0.422925,345003.000000,130286.000000
1405.346685,0.436247,343757.000000,125894.000000
1408.677790,0.450351,342352.000000,121373.000000
1412.004553,0.464272,341353.000000,117201.000000
1415.326976,0.477718,340376.000000,113303.000000
1418.645058,0.490029,339235.000000,109767.000000
1421.958799,0.500753,338089.000000,106728.000000
1425.268199,0.511278,337240.000000,103911.000000
1429.673980,0.523456,336627.000000,100854.000000
1432.973251,0.530795,335833.000000,98930.000000
1436.268181,0.534316,335096.000000,97916.000000
1439.558770,0.538549,335199.000000,96996.000000
1442.845019,0.542875,334893.000000,95947.000000
1446.126927,0.544613,334277.000000,95388.000000
1449.404493,0.546145,333763.000000,94906.000000
1452.677719,0.546253,333572.000000,94828.000000
1455.946604,0.548949,333129.000000,94116.000000
1459.211148,0.549641,332444.000000,93773.000000
1462.471351,0.551134,331298.000000,93129.000000
1465.727213,0.550833,330169.000000,92876.000000
1470.061610,0.549552,328541.000000,92691.000000
1473.307344,0.548988,327134.000000,92414.000000
1476.548736,0.547029,325672.000000,92417.000000
1479.785788,0.546884,324584.000000,92139.000000
1483.018499,0.543727,323384.000000,92468.000000
1486.246869,0.541786,321771.000000,92419.000000
1489.470897,0.540363,320136.000000,92251.000000
1492.690586,0.539569,318588.000000,91973.000000
1495.905933,0.537039,316999.000000,92049.000000
1499.116939,0.534312,315220.000000,92109.000000
1502.323604,0.532315,313246.000000,91954.000000
1505.525929,0.528872,311249.000000,92095.000000
1509.788942,0.526096,308618.000000,91902.000000
1512.981138,0.521668,306654.000000,92253.000000
1516.168993,0.520475,304082.000000,91731.000000
1519.352506,0.519526,302109.000000,91335.000000
1522.531679,0.517455,299730.000000,91049.000000
1525.706511,0.515363,297074.000000,90678.000000
1528.877003,0.512244,294496.000000,90539.000000
1532.043153,0.511125,291818.000000,89947.000000
1535.204962,0.509274,288987.000000,89455.000000
1538.362431,0.508750,285938.000000,88618.000000
1541.515558,0.508296,283022.000000,87806.000000
1544.664345,0.504589,279846.000000,87565.000000
1548.855975,0.502092,275325.000000,86647.000000
1551.994632,0.498932,272007.000000,86228.000000
1555.128949,0.499675,268504.000000,84972.000000
1558.258926,0.499521,264975.000000,83885.000000
1561.384561,0.498795,261212.000000,82832.000000
1564.505855,0.496509,257306.000000,82024.000000
1567.622808,0.493887,253459.000000,81287.000000
1570.735421,0.493112,249406.000000,80130.000000
1573.843693,0.492035,245168.000000,78964.000000
1576.947623,0.491515,240899.000000,77682.000000
1580.047213,0.488330,236584.000000,76852.000000
1583.142462,0.488543,232120.000000,75365.000000
1586.233370,0.486395,227423.000000,74206.000000
1590.347828,0.483899,221518.000000,72696.000000
1593.428607,0.479471,216801.000000,71877.000000
1596.505046,0.477788,212411.000000,70695.000000
1599.577143,0.476265,207733.000000,69381.000000
1602.644900,0.474501,202937.000000,68055.000000
1605.708315,0.468394,198083.000000,67368.000000
1608.767390,0.464472,193135.000000,66281.000000
1611.822124,0.464041,188667.000000,64812.000000
1614.872517,0.458124,183570.000000,63926.000000
1617.918569,0.454410,178761.000000,62786.000000
1620.960280,0.454573,174154.000000,61145.000000
1623.997650,0.452110,169751.000000,59938.000000
1628.040725,0.448122,163684.000000,58329.000000
1631.067966,0.448449,159168.000000,56677.000000
1634.090867,0.444131,154568.000000,55589.000000
1637.109426,0.444095,150168.000000,54011.000000
1640.123645,0.440842,145504.000000,52727.000000
1643.133523,0.440868,140995.000000,51090.000000
1646.139060,0.438727,136199.000000,49596.000000
1649.140256,0.434759,131303.000000,48252.000000
1652.137111,0.432213,126372.000000,46713.000000
1655.129625,0.422069,120867.000000,45734.000000
1658.117799,0.424936,114905.000000,43192.000000
1661.101631,0.416294,107900.000000,41374.000000
1665.073322,0.406353,96955.000000,38038.000000
1668.047026,0.386164,87337.000000,35895.000000
1671.016388,0.367073,77259.000000,33180.000000
1673.981410,0.345102,67057.000000,30293.000000
1676.942091,0.324168,57301.000000,27164.000000
1679.898431,0.305694,48403.000000,23943.000000
1682.850430,0.299617,40801.000000,20467.000000
1685.798089,0.298383,34189.000000,17199.000000
1688.741406,0.294457,28917.000000,14679.000000
1691.680383,0.295750,24609.000000,12455.000000
1694.615018,0.312568,21017.000000,10233.000000
1697.545313,0.315073,18071.000000,8748.000000
1701.445620,0.329125,14782.000000,6928.000000
